01  (64,92)  (16,139)  (16,91)  (111,140)  (64,44)  (112,44)  (112,92)  (14,43)  (63,187)  (15,187)  (159,140)  (159,188)  (111,188)  (160,0)  (160,48)  | overflowToLeft=false
02  (315,71)  (267,118)  (267,70)  (362,119)  (315,23)  (363,23)  (363,71)  (265,22)  (410,119)  (411,0)  (411,48)  | overflowToLeft=false
03  (607,65)  (559,112)  (559,64)  (654,113)  (607,17)  (655,17)  (655,65)  (557,16)  (606,160)  (558,160)  (511,112)  (511,64)  (702,113)  (702,161)  (654,161)  (510,161)  (703,0)  (703,48)  (509,16)  | overflowToLeft=false
04  (826,87)  (778,134)  (778,86)  (873,135)  (826,39)  (874,39)  (874,87)  (776,38)  (921,135)  | overflowToLeft=false
05  (844,312)  (796,359)  (796,311)  (876,360)  (844,264)  (892,264)  (892,312)  (794,263)  (828,407)  (780,407)  (842,216)  (890,216)  (775,215)  | overflowToLeft=false
06  (631,309)  (583,356)  (583,308)  (678,357)  (631,261)  (679,261)  (679,309)  (581,260)  (535,340)  (726,357)  (726,405)  (727,235)  (727,283)  | overflowToLeft=false
07  (367,231)  (319,268)  (319,220)  (414,279)  (415,190)  (271,269)  (271,221)  (462,238)  (462,286)  (469,334)  | overflowToLeft=false
08  (87,315)  (39,362)  (39,314)  (134,363)  (87,267)  (135,267)  (135,315)  (37,266)  (183,235)  (183,283)  (183,331)  | overflowToLeft=false
09  (52,537)  (4,584)  (4,536)  (99,585)  (52,489)  (100,489)  (100,537)  (2,488)  (51,632)  (3,632)  (50,441)  (98,441)  (146,441)  (148,489)  (0,440)  | overflowToLeft=false
Banasa  (270,1694)  (222,1741)  (222,1693)  (317,1742)  (270,1646)  (318,1646)  (318,1694)  (220,1645)  (269,1789)  (221,1789)  (174,1741)  (174,1693)  (365,1742)  (359,1790)  (268,1598)  (316,1598)  (366,1599)  (366,1647)  | overflowToLeft=false
Valentia  (820,995)  (772,1018)  (772,970)  (867,1043)  (820,947)  (868,953)  (724,1017)  (903,1091)  (855,1091)  | overflowToLeft=false
Salapia  (2335,815)  (2287,782)  (2383,838)  (2253,734)  (2431,841)  (2205,724)  (2300,734)  (2257,686)  | overflowToLeft=false
Rhodos  (3457,1307)  | overflowToLeft=false
Nicopolis  (3126,599)  (3078,635)  (3078,587)  (3126,551)  (3174,551)  (3174,599)  (3065,539)  (3222,527)  (3222,595)  (3017,533)  | overflowToLeft=false
Syracuse  (2329,1427)  (2281,1429)  (2281,1381)  (2329,1379)  (2377,1379)  (2377,1427)  (2233,1392)  | overflowToLeft=false
Paraetonium  (3198,1928)  (3150,1975)  (3150,1927)  (3245,1976)  (3198,1880)  (3246,1880)  (3246,1928)  (3148,1879)  (3197,2023)  (3149,2023)  (3289,2024)  (3196,1832)  (3244,1832)  (3100,1896)  (3130,1831)  | overflowToLeft=false
Alesia  (1327,30)  (1279,77)  (1279,29)  (1374,78)  (1375,0)  (1231,90)  (1231,42)  (1422,48)  (1423,0)  (1470,48)  (1471,0)  | overflowToLeft=false
Sarmizegetusa  (3253,210)  (3205,257)  (3205,209)  (3300,258)  (3253,162)  (3301,163)  (3157,288)  (3348,211)  (3242,114)  | overflowToLeft=false
10  (21,735)  (1,783)  (0,687)  (48,687)  (1,892)  (35,940)  | overflowToLeft=false
11  (81,1175)  (33,1222)  (33,1174)  (128,1223)  (129,1146)  (31,1126)  (176,1194)  (176,1242)  | overflowToLeft=false
